t,y
0.0,0.06709854653028935
1.0,-0.12323343244478781
2.0,0.27220950059642746
3.0,0.8788488354614282
4.0,0.9749619233006965
5.0,0.27804403247130666
6.0,1.0711702979985191
7.0,0.8848388307154479
8.0,1.0462069138173993
9.0,1.3392382530255527
10.0,1.3535580194749424
11.0,1.8682323561558962
12.0,1.6888625296779616
13.0,1.4965609663178894
14.0,1.6031842314865226
15.0,1.5347674377851428
16.0,1.8829364219896032
17.0,1.205010955696429
18.0,1.2807492362977317
19.0,0.7338461193248145
20.0,-0.03149443397537577
21.0,0.9613913213715491
22.0,0.8599186407108874
23.0,0.07733633171875237
24.0,0.997886955983393
25.0,-0.5946656040105441
26.0,-0.23406979680576387
27.0,-0.5207089870093959
28.0,-0.05294157200944227
29.0,-0.25262206726360315
30.0,-0.9235149167002275
31.0,-0.982349984324336
32.0,-1.6046107493176214
33.0,-2.14106090791097
34.0,-1.5719527232616466
35.0,-1.419302096105459
36.0,-1.0059379690424073
37.0,-1.0040945711757887
38.0,-1.6082062393833734
39.0,-1.5037914350240318
40.0,-1.71180391665656
41.0,-1.7399035536437486
42.0,-1.7077707051042572
43.0,-0.006091246652264126
44.0,-0.8349778964685518
45.0,-0.587948775914665
46.0,-0.7007214909777673
47.0,0.4038757917864142
48.0,-0.36367370484256545
49.0,0.4884208139176962
50.0,0.4482565551081017
51.0,1.2486388812715365
52.0,1.0996778498025293
53.0,1.0336604517653933
54.0,1.7425076957223522
55.0,2.1293132403154296
56.0,2.13430287511004
57.0,2.373862551373831
58.0,2.06748441939262
59.0,2.260976967565017
60.0,2.164401635850463
61.0,2.3091393855736317
62.0,2.0790266031525944
63.0,1.6089626072308598
64.0,2.3601080961064724
65.0,1.9721907192159271
66.0,1.2623404106427434
67.0,2.010363269873598
68.0,1.1821304704812232
69.0,1.3757859545370834
70.0,1.4247677649317543
71.0,0.8853044495266558
72.0,1.0592453546135012
73.0,-0.2952619456916781
74.0,0.15307091554329774
75.0,-0.6214114917108766
76.0,-0.9829055044277294
77.0,-1.1174700707603344
78.0,-1.2471207835830125
79.0,-1.3117491620317439
80.0,-2.066762711210627
81.0,-1.3187286660080986
82.0,-1.6643374956796948
83.0,-2.6795324506365823
84.0,-1.410498127399377
85.0,-1.2794740304029473
86.0,-1.6155676659976645
87.0,-2.2012278710051265
88.0,-2.542262570161078
89.0,-1.510520883491904
90.0,-2.037184607195363
91.0,-1.1701128586015248
92.0,-1.443257867681705
